612 - scabbers - 127
613 - happily - 127
614 - headmaster - 127
615 - shock - 127
616 - filled - 127
617 - afraid - 126
618 - piece - 126
619 - immediately - 126
620 - extremely - 125
621 - strange - 125
622 - grinning - 125
623 - sudden - 125
624 - footsteps - 125
625 - parvati - 125
626 - sirius’s - 125
627 - wondering - 124
628 - paper - 124
629 - change - 124
630 - attention - 124
631 - unless - 124
632 - swung - 124
633 - bottom - 123
634 - furiously - 122
635 - hastily - 122
636 - placed - 122
637 - brother - 122
638 - homework - 121
639 - voices - 121
640 - means - 121
641 - disappeared - 121
642 - seven - 120
643 - dormitory - 120
644 - slytherins - 120
645 - classroom - 120
646 - weeks - 119
647 - powerful - 119
648 - practice - 119
649 - department - 119
650 - secret - 118
651 - drive - 118
652 - halfway - 118
653 - strode - 118
654 - waited - 118
655 - skeeter - 118
656 - bellowed - 117
657 - knocked - 117
658 - twelve - 117
659 - prophecy - 117
660 - landed - 116
661 - reading - 116
662 - dunno - 116
663 - scared - 116
664 - marble - 116
665 - quick - 116
666 - flitwick - 116
667 - notice - 115
668 - excellent - 115
669 - usually - 115
670 - terrified - 115
671 - drink - 115
672 - group - 115
673 - charms - 115
674 - attacked - 115
675 - diggory - 115
676 - particularly - 114
677 - explain - 114
678 - nearer - 114
679 - library - 114
680 - bedroom - 113
681 - touch - 113
682 - weasleys - 113
683 - single - 113
684 - surely - 113
685 - he’ll - 113
686 - cannot - 113
687 - nervously - 112
688 - firmly - 112
689 - subject - 112
690 - figure - 112
691 - thinks - 112
692 - angelina - 112
693 - spent - 111
694 - firebolt - 111
695 - showed - 111
696 - playing - 111
697 - ollivander - 111
698 - obviously - 110
699 - waving - 110
700 - visit - 110
701 - softly - 110
702 - hufflepuff - 110
703 - mad-eye - 110
704 - recognized - 109
705 - normal - 109
706 - asleep - 109
707 - minute - 109
708 - heavily - 109
709 - rolled - 109
710 - fallen - 109
711 - fighting - 109
712 - wonder - 109
713 - broomstick - 108
714 - nasty - 108
715 - meeting - 108
716 - present - 108
717 - purple - 108
718 - control - 108
719 - hoping - 108
720 - prime - 108
721 - tournament - 108
722 - madame - 108
723 - bathroom - 107
724 - sideways - 107
725 - forget - 107
726 - worked - 107
727 - doubt - 107
728 - corridors - 107
729 - locket - 107
730 - frowning - 106
731 - o’clock - 106
732 - changed - 106
733 - deserted - 106
734 - beaming - 106
735 - afternoon - 106
736 - twice - 106
737 - diary - 106
738 - tomorrow - 105
739 - trembling - 105
740 - cabin - 105
741 - fixed - 105
742 - approached - 105
743 - brightly - 105
744 - hanging - 105
745 - shoulders - 105
746 - falling - 105
747 - brown - 104
748 - missed - 104
749 - throwing - 104
750 - using - 104
751 - closely - 104
752 - buckbeak - 104
753 - dream - 104
754 - leaned - 103
755 - finger - 103
756 - tight - 103
757 - anger - 103
758 - mention - 103
759 - follow - 103
760 - hurrying - 103
761 - crossed - 103
762 - surface - 103
763 - pretty - 103
764 - stretched - 102
765 - force - 102
766 - weasley’s - 102
767 - seems - 102
768 - neville’s - 102
769 - everybody - 102
770 - attempt - 102
771 - garden - 101
